Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_beaching,k_sediment_resuspension,k_burial,k_runoff_transport,k_percolation,k_soil_air_resuspension,k_soil_convection,k_sequestration_deep_soils,k_wind_trasport,k_dry_deposition,k_wet_deposition
Ocean_Surface_Water,biofMP,mp5,2.431071761223153e-06,"[5.557266242310434e-07, 1.1908427662093789e-07, 7.938951774729193e-08, 3.9694758873645996e-08, 0.0]",886.221035906939,0.0,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp1,2.431071761223153e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.7504648317849157e-16,0.0,0.0,4.116564417177914e-08,3.6192784926324813e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp2,2.4310717612231526e-13,"[2.069169623927708e-11, 0.0, 0.0, 0.0, 0.0]",0.0,6.049506537160827e-16,0.0,0.0,4.116564417177914e-08,6.4428660293348195e-06,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp3,2.4310717612231528e-11,"[4.5419898293366534e-11, 4.5419898293366534e-11, 0.0, 0.0, 0.0]",0.0,3.988016141817296e-14,0.0,0.0,4.116564417177914e-08,3.3214317727306166e-05,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp4,2.4310717612231527e-09,"[4.825496177578399e-10, 1.6084987258594664e-10, 1.6084987258594664e-10, 0.0, 0.0]",0.0,6.40559268044956e-11,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,2.4310717612231525e-07,"[5.55726624794645e-09, 1.1908427674170964e-09, 7.938951782780643e-10, 3.969475891390325e-10, 0.0]",0.0,8.862210148869099e-07,0.0,0.0,4.116564417177914e-08,0.0,0.0,0.00276,5.555555555555555e-09,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp1,1.2155358806115764e-15,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.246885287461167e-08,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446896763621471e-11,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp2,1.2155358806115763e-13,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",5.936118670599402e-08,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.4468967636214734e-09,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp3,1.2155358806115764e-11,"[7.927447995941146e-10, 7.927447995941146e-10, 0.0, 0.0, 0.0]",8.09320649027192e-06,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446896763621472e-07,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp4,1.2155358806115764e-09,"[9.512937595129376e-09, 3.1709791983764586e-09, 3.1709791983764586e-09, 0.0, 0.0]",0.0477936659835263,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,6.446896763621472e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp5,1.2155358806115762e-07,"[1.1098427194317603e-07, 2.3782343987823436e-08, 1.5854895991882293e-08, 7.927447995941153e-09, 0.0]",458.08179228950456,0.0,3.858024691358025e-07,0.0,1.371165644171779e-08,0.0,0.006446896763621472,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp1,1.2155358806115763e-16,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,1.8736386066974934e-17,3.858024691358025e-07,0.0,1.371165644171779e-08,1.0629822872750296e-07,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp2,1.2155358806115764e-14,"[2.528451797958585e-12, 0.0, 0.0, 0.0, 0.0]",0.0,3.0520327648159686e-17,3.858024691358025e-07,0.0,1.371165644171779e-08,9.26977017361973e-08,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
