Name,form,composition,shape,density_kg_m3,dimensionX_um,dimensionY_um,dimensionZ_um
mp1,freeMP,PA,sphere,999,0.25,0.25,0.25
mp2,freeMP,PA,sphere,999,2.5,2.5,2.5
mp3,freeMP,PA,sphere,999,25.0,25.0,25.0
mp4,freeMP,PA,sphere,999,250.0,250.0,250.0
mp5,freeMP,PA,sphere,999,2500.0,2500.0,2500.0
