Name,form,composition,shape,density_kg_m3,dimensionX_um,dimensionY_um,dimensionZ_um
mp1,freeMP,TPU,sphere,1120,0.25,0.25,0.25
mp2,freeMP,TPU,sphere,1120,2.5,2.5,2.5
mp3,freeMP,TPU,sphere,1120,25.0,25.0,25.0
mp4,freeMP,TPU,sphere,1120,250.0,250.0,250.0
mp5,freeMP,TPU,sphere,1120,2500.0,2500.0,2500.0
