compartment,q_mass_g_s
Ocean_Surface_Water,0
Ocean_Mixed_Water,0
Ocean_Column_Water,0
Coast_Surface_Water,0
Coast_Column_Water,0
Surface_Freshwater,0
Bulk_Freshwater,0
Sediment_Freshwater,0
Sediment_Ocean,0
Sediment_Coast,0
Beaches_Soil_Surface,0
Beaches_Deep_Soil,0
Background_Soil_Surface,0
Background_Soil,0
Impacted_Soil_Surface,250000
Impacted_Soil,0
Air,0
