Name,form,composition,shape,density_kg_m3,dimensionX_um,dimensionY_um,dimensionZ_um
mp1,freeMP,P,sphere,800,0.25,0.25,0.25
mp2,freeMP,P,sphere,800,2.5,2.5,2.5
mp3,freeMP,P,sphere,800,25.0,25.0,25.0
mp4,freeMP,P,sphere,800,250.0,250.0,250.0
mp5,freeMP,P,sphere,800,2500.0,2500.0,2500.0
