Name,form,composition,shape,density_kg_m3,dimensionX_um,dimensionY_um,dimensionZ_um
mp1,freeMP,PE,sphere,980,0.25,0.25,0.25
mp2,freeMP,PE,sphere,980,2.5,2.5,2.5
mp3,freeMP,PE,sphere,980,25.0,25.0,25.0
mp4,freeMP,PE,sphere,980,250.0,250.0,250.0
mp5,freeMP,PE,sphere,980,2500.0,2500.0,2500.0
